row_id,split,label,etld1,etld1_missing
0,train,0,go.com,0
1,train,1,r2.dev,0
2,train,1,q-r.to,0
3,train,1,campaign-archive.com,0
4,train,1,firebaseapp.com,0
5,train,1,google.com,0
6,train,0,thehanovertheatre.org,0
7,test,0,portobello.com.br,0
8,train,0,altera.com,0
9,train,1,qrco.de,0
10,test,0,trulia.com,0
11,train,0,tt.net,0
12,train,1,workers.dev,0
13,train,1,qrco.de,0
14,train,1,shenghengshengwu.com,0
15,val,1,adobe.com,0
16,train,0,photofinish.live,0
17,test,0,eliteprospects.com,0
18,train,0,itlogia.ru,0
19,train,0,solo.com.hr,0
20,train,0,interpark.com,0
21,train,0,lloydnorrisjones.com,0
22,train,1,ead.me,0
23,train,1,ead.me,0
24,train,0,colorlines.com,0
25,train,1,r2.dev,0
26,val,1,hollykim.com,0
27,test,0,blogcatalog.com,0
28,test,0,charter.net,0
29,train,0,sfgate.com,0
30,train,1,r2.dev,0
31,train,1,blogspot.com,0
32,train,0,ezinemark.com,0
33,train,1,bit.ly,0
34,train,0,facebook.com,0
35,train,1,web.app,0
36,train,1,qrco.de,0
37,train,0,tlavideo.com,0
38,test,0,instantcast.com,0
39,train,0,orderwindowshere.com,0
40,test,1,pages.dev,0
41,train,1,google.com,0
42,train,0,theworldlink.com,0
43,train,1,weebly.com,0
44,train,0,beenverified.com,0
45,train,1,web.app,0
46,train,0,glance-international.com,0
47,train,1,firebaseapp.com,0
48,test,1,voos-nacional-internacional-premium.com,0
49,train,0,yojoe.com,0
50,train,0,facebook.com,0
51,train,1,qrco.de,0
52,train,1,wa.pe,0
53,train,1,weebly.com,0
54,train,1,href.li,0
55,val,1,pkaveen.in,0
56,train,0,bjcurio.com,0
57,train,0,xyshuma.cn,0
58,train,0,googlegroups.com,0
59,train,0,facebook.com,0
60,train,0,docstoc.com,0
61,test,0,192.com,0
62,val,0,neu-s.com,0
63,val,0,airport-int.com,0
64,train,0,expedia.com,0
65,val,1,dweb.link,0
66,train,1,google.com,0
67,train,1,hoo.be,0
68,train,0,croinfo.org,0
69,train,0,googlegroups.com,0
70,train,1,firebaseapp.com,0
71,test,0,altacareresources.com,0
72,train,0,starpulse.com,0
73,test,0,eurohockey.net,0
74,train,1,web.app,0
75,train,0,nytimes.com,0
76,train,0,upstox.com,0
77,train,1,best-practice.se,0
78,test,0,imdb.com,0
79,train,1,jotform.com,0
80,train,0,unorthodoxfaith.com,0
81,train,0,kvaz.com,0
82,test,0,jerrybrown.org,0
83,train,1,jotform.com,0
84,train,0,youtube.com,0
85,val,1,openx.net,0
86,val,1,adobe.com,0
87,train,1,weebly.com,0
88,val,0,twitter.com,0
89,train,1,gsund-nuernberg.de,0
90,train,1,wixsite.com,0
91,train,0,t-navi.info,0
92,val,0,hzmuma.com,0
93,train,0,usatoday.com,0
94,val,0,boltsfromtheblue.com,0
95,train,0,youtube.com,0
96,val,1,dweb.link,0
97,train,0,businessweek.com,0
98,val,1,github.io,0
99,train,0,1doc3.com,0
100,train,1,dibbss.com,0
101,train,1,cakeresume.com,0
102,train,0,go.com,0
103,train,1,qrco.de,0
104,test,1,linqapp.com,0
105,val,1,adobe.com,0
106,train,1,weebly.com,0
107,test,0,aloud.com,0
108,train,1,weebly.com,0
109,train,1,ead.me,0
110,train,0,molodeu.ru,0
111,train,1,myportfolio.com,0
112,train,0,botriphnie.org.uk,0
113,val,0,aeknow.org,0
114,val,0,venturebeat.com,0
115,train,1,bit.ly,0
116,train,1,jrczbseqhkn.top,0
117,train,0,bonneralumni.com,0
118,train,1,google.com,0
119,train,1,bit.ly,0
120,train,1,allvaluelink.com,0
121,train,0,scribbr.co.uk,0
122,train,1,edgecompute.app,0
123,train,1,t.co,0
124,test,1,activehosted.com,0
125,val,0,elyrics.net,0
126,train,0,answers.com,0
127,train,0,fh-wedel.de,0
128,train,1,twnbj.cc,0
129,train,1,r2.dev,0
130,train,1,,1
131,train,1,google.com,0
132,train,1,google.com,0
133,train,0,sputnikmusic.com,0
134,val,1,adobe.com,0
135,train,0,zebrix.net,0
136,train,1,google.com,0
137,train,1,web.app,0
138,train,0,pikabu.ru,0
139,test,1,webwave.dev,0
140,val,1,adobe.com,0
141,train,0,ticketcity.com,0
142,train,0,docstoc.com,0
143,train,0,srvdns.ru,0
144,val,0,tvmidtvest.dk,0
145,train,0,jzydky.com,0
146,train,0,cafedeslijterij.nl,0
147,train,0,wangqibest.cn,0
148,train,1,weebly.com,0
149,train,1,linkin.bio,0
150,train,0,tribalfootball.com,0
151,train,1,ukit.me,0
152,train,1,gitbook.io,0
153,train,1,web.app,0
154,train,1,banrural.app,0
155,train,0,biomedexperts.com,0
156,train,0,investorpoint.com,0
157,train,0,blogspot.co.uk,0
